Category,Numerical,Description,Salary,Rating,Boolean
Category C,869,Consectetur adipiscing elit,86548,5,True 
Category C,623,Ut labore et dolore magna aliqua,38152,5,True 
Category B,812,Consectetur adipiscing elit,79115,5,True 
Category A,920,Ut labore et dolore magna aliqua,49952,5,True 
Category B,325,Ut labore et dolore magna aliqua,93908,5,True 
Category B,798,Consectetur adipiscing elit,71783,5,True 
Category C,492,Lorem ipsum dolor sit amet,59637,5,True 
Category C,146,Ut labore et dolore magna aliqua,55892,5,True 
Category B,35,Consectetur adipiscing elit,86960,5,True 
Category B,110,Ut labore et dolore magna aliqua,86294,5,True 
Category B,381,Lorem ipsum dolor sit amet,101551,5,True 
Category C,687,Sed do eiusmod tempor incididunt,117293,5,True 
Category A,919,Ut labore et dolore magna aliqua,44714,5,True 
Category C,930,Lorem ipsum dolor sit amet,36266,5,True 
Category A,900,Sed do eiusmod tempor incididunt,93405,5,True 
Category C,16,Sed do eiusmod tempor incididunt,104873,5,True 
Category C,628,Lorem ipsum dolor sit amet,45820,5,True 
Category A,580,Ut labore et dolore magna aliqua,91246,5,True 
Category A,135,Lorem ipsum dolor sit amet,84945,5,True 
Category C,733,Consectetur adipiscing elit,69665,5,True 
Category A,371,Ut labore et dolore magna aliqua,77695,5,True 
Category C,261,Lorem ipsum dolor sit amet,35060,5,True 
Category A,527,Consectetur adipiscing elit,91210,5,True 
Category C,73,Lorem ipsum dolor sit amet,80339,5,True 
Category A,426,Consectetur adipiscing elit,36269,5,True 
Category A,144,Sed do eiusmod tempor incididunt,93614,5,True 
Category C,334,Lorem ipsum dolor sit amet,86475,5,True 
Category B,647,Ut labore et dolore magna aliqua,97906,5,True 
Category B,319,Lorem ipsum dolor sit amet,49815,5,True 
Category C,485,Sed do eiusmod tempor incididunt,79476,5,True 
Category C,326,Sed do eiusmod tempor incididunt,93768,5,True 
Category C,406,Lorem ipsum dolor sit amet,107173,5,True 
Category B,93,Sed do eiusmod tempor incididunt,111450,5,True 
Category C,110,Consectetur adipiscing elit,102942,5,True 
Category A,144,Lorem ipsum dolor sit amet,110890,5,True 
Category C,868,Lorem ipsum dolor sit amet,45814,5,True 
Category C,104,Lorem ipsum dolor sit amet,107940,5,True 
Category B,325,Lorem ipsum dolor sit amet,102955,5,True 
Category B,504,Sed do eiusmod tempor incididunt,54005,5,True 
Category A,615,Lorem ipsum dolor sit amet,43844,5,True 
Category C,358,Ut labore et dolore magna aliqua,97427,5,True 
Category B,422,Consectetur adipiscing elit,111163,5,True 
Category A,448,Ut labore et dolore magna aliqua,111222,5,True 
Category A,679,Sed do eiusmod tempor incididunt,42197,5,True 
Category A,830,Ut labore et dolore magna aliqua,47806,5,True 
Category B,609,Sed do eiusmod tempor incididunt,62754,5,True 
Category C,445,Ut labore et dolore magna aliqua,72866,5,True 
Category C,932,Ut labore et dolore magna aliqua,96581,5,True 
Category B,70,Sed do eiusmod tempor incididunt,115306,5,True 
Category A,365,Sed do eiusmod tempor incididunt,115625,5,True 
Category A,517,Lorem ipsum dolor sit amet,81128,5,True 
Category C,695,Ut labore et dolore magna aliqua,35122,5,True 
Category C,923,Ut labore et dolore magna aliqua,36686,5,True 
Category A,406,Sed do eiusmod tempor incididunt,63008,5,True 
Category B,460,Ut labore et dolore magna aliqua,45693,5,True 
Category B,375,Sed do eiusmod tempor incididunt,93137,5,True 
Category A,958,Ut labore et dolore magna aliqua,59215,5,True 
Category C,63,Consectetur adipiscing elit,46533,5,True 
Category C,530,Consectetur adipiscing elit,91226,5,True 
Category B,470,Consectetur adipiscing elit,40498,5,True 
Category A,910,Ut labore et dolore magna aliqua,74578,5,True 
Category B,4,Ut labore et dolore magna aliqua,56475,5,True 
Category A,883,Consectetur adipiscing elit,102374,5,True 
Category B,778,Consectetur adipiscing elit,87163,5,True 
Category A,494,Ut labore et dolore magna aliqua,31705,5,True 
Category B,240,Lorem ipsum dolor sit amet,39412,5,True 
Category C,431,Sed do eiusmod tempor incididunt,84072,5,True 
Category B,474,Sed do eiusmod tempor incididunt,105517,5,True 
Category C,238,Consectetur adipiscing elit,37091,5,True 
Category B,864,Ut labore et dolore magna aliqua,115367,5,True 
Category A,292,Sed do eiusmod tempor incididunt,30397,5,True 
Category A,388,Consectetur adipiscing elit,79287,5,True 
Category A,108,Sed do eiusmod tempor incididunt,70906,5,True 
Category B,369,Ut labore et dolore magna aliqua,44041,5,True 
Category B,701,Lorem ipsum dolor sit amet,119196,5,True 
Category A,778,Sed do eiusmod tempor incididunt,109368,5,True 
Category B,933,Lorem ipsum dolor sit amet,31632,5,True 
Category A,910,Consectetur adipiscing elit,104067,5,True 
Category C,290,Lorem ipsum dolor sit amet,37278,5,True 
Category A,857,Sed do eiusmod tempor incididunt,73744,5,True 
Category C,477,Consectetur adipiscing elit,46961,5,True 
Category A,474,Ut labore et dolore magna aliqua,82059,5,True 
Category A,49,Consectetur adipiscing elit,51965,5,True 
Category A,537,Consectetur adipiscing elit,99358,5,True 
Category C,237,Ut labore et dolore magna aliqua,97015,5,True 
Category C,542,Lorem ipsum dolor sit amet,78352,5,True 
Category A,91,Lorem ipsum dolor sit amet,106181,5,True 
Category C,72,Sed do eiusmod tempor incididunt,97178,5,True 
Category C,758,Sed do eiusmod tempor incididunt,96023,5,True 
Category B,675,Lorem ipsum dolor sit amet,30697,5,True 
Category A,645,Consectetur adipiscing elit,71209,5,True 
Category B,690,Lorem ipsum dolor sit amet,101074,5,True 
Category C,435,Ut labore et dolore magna aliqua,50464,5,True 
Category B,433,Lorem ipsum dolor sit amet,66677,5,True 
Category C,327,Ut labore et dolore magna aliqua,114699,5,True 
Category C,638,Consectetur adipiscing elit,41581,5,True 
Category A,831,Consectetur adipiscing elit,94394,5,True 
Category A,657,Ut labore et dolore magna aliqua,89427,5,True 
Category B,432,Sed do eiusmod tempor incididunt,30714,5,True 
Category B,663,Sed do eiusmod tempor incididunt,98995,5,True 
Category C,616,Consectetur adipiscing elit,81113,5,True 
Category B,885,Sed do eiusmod tempor incididunt,43224,5,True 
Category B,762,Consectetur adipiscing elit,53459,5,True 
Category C,179,Consectetur adipiscing elit,53263,5,True 
Category B,765,Sed do eiusmod tempor incididunt,81719,5,True 
Category C,618,Lorem ipsum dolor sit amet,81369,5,True 
Category C,690,Sed do eiusmod tempor incididunt,51113,5,True 
Category A,166,Ut labore et dolore magna aliqua,78563,5,True 
Category A,912,Ut labore et dolore magna aliqua,46622,5,True 
Category C,602,Sed do eiusmod tempor incididunt,78002,5,True 
Category A,950,Sed do eiusmod tempor incididunt,85918,5,True 
Category A,111,Sed do eiusmod tempor incididunt,52944,5,True 
Category C,135,Lorem ipsum dolor sit amet,31456,5,True 
Category B,611,Ut labore et dolore magna aliqua,114703,5,True 
Category A,325,Consectetur adipiscing elit,41290,5,True 
Category C,233,Sed do eiusmod tempor incididunt,60053,5,True 
Category A,856,Ut labore et dolore magna aliqua,111469,5,True 
Category C,997,Sed do eiusmod tempor incididunt,91198,5,True 
Category A,755,Ut labore et dolore magna aliqua,86135,5,True 
Category B,132,Lorem ipsum dolor sit amet,115188,5,True 
Category A,218,Consectetur adipiscing elit,65046,5,True 
Category B,321,Sed do eiusmod tempor incididunt,96395,5,True 
Category B,243,Lorem ipsum dolor sit amet,91939,5,True 
Category B,499,Ut labore et dolore magna aliqua,69816,5,True 
Category B,448,Ut labore et dolore magna aliqua,88931,5,True 
Category B,820,Sed do eiusmod tempor incididunt,117499,5,True 
Category B,482,Consectetur adipiscing elit,75459,5,True 
Category A,286,Sed do eiusmod tempor incididunt,65329,5,True 
Category C,131,Sed do eiusmod tempor incididunt,52179,5,True 
Category B,28,Consectetur adipiscing elit,67450,5,True 
Category A,922,Consectetur adipiscing elit,92555,5,True 
Category B,318,Consectetur adipiscing elit,46648,5,True 
Category C,449,Sed do eiusmod tempor incididunt,110053,5,True 
Category B,653,Consectetur adipiscing elit,57180,5,True 
Category A,401,Ut labore et dolore magna aliqua,57958,5,True 
Category A,689,Ut labore et dolore magna aliqua,57801,5,True 
Category A,613,Consectetur adipiscing elit,31219,5,True 
Category B,568,Consectetur adipiscing elit,73997,5,True 
Category C,953,Consectetur adipiscing elit,97858,5,True 
Category C,124,Consectetur adipiscing elit,59939,5,True 
Category C,944,Sed do eiusmod tempor incididunt,87419,5,True 
Category B,87,Lorem ipsum dolor sit amet,47411,5,True 
Category B,475,Ut labore et dolore magna aliqua,67844,5,True 
Category A,760,Consectetur adipiscing elit,88579,5,True 
Category A,621,Ut labore et dolore magna aliqua,76019,5,True 
Category B,725,Sed do eiusmod tempor incididunt,81556,5,True 
Category C,248,Sed do eiusmod tempor incididunt,114629,5,True 
Category C,49,Ut labore et dolore magna aliqua,75399,5,True 
Category A,201,Consectetur adipiscing elit,115394,5,True 
Category C,815,Ut labore et dolore magna aliqua,78897,5,True 
Category A,989,Consectetur adipiscing elit,40635,5,True 
Category B,698,Consectetur adipiscing elit,57275,5,True 
Category B,676,Sed do eiusmod tempor incididunt,95862,5,True 
Category A,798,Lorem ipsum dolor sit amet,92181,5,True 
Category A,924,Sed do eiusmod tempor incididunt,102064,5,True 
Category C,312,Ut labore et dolore magna aliqua,67180,5,True 
Category C,840,Lorem ipsum dolor sit amet,34209,5,True 
Category B,953,Ut labore et dolore magna aliqua,117675,5,True 
Category B,804,Lorem ipsum dolor sit amet,82527,5,True 
Category A,624,Ut labore et dolore magna aliqua,57573,5,True 
Category B,828,Consectetur adipiscing elit,67042,5,True 
Category C,39,Consectetur adipiscing elit,94907,5,True 
Category A,164,Sed do eiusmod tempor incididunt,106500,5,True 
Category C,167,Consectetur adipiscing elit,57669,5,True 
Category A,996,Ut labore et dolore magna aliqua,71509,5,True 
Category C,257,Lorem ipsum dolor sit amet,40625,5,True 
Category A,580,Consectetur adipiscing elit,54328,5,True 
Category B,993,Sed do eiusmod tempor incididunt,110157,5,True 
Category B,590,Ut labore et dolore magna aliqua,34542,5,True 
Category A,198,Ut labore et dolore magna aliqua,61449,5,True 
Category A,139,Lorem ipsum dolor sit amet,92014,5,True 
Category C,416,Consectetur adipiscing elit,112404,5,True 
Category A,886,Lorem ipsum dolor sit amet,40635,5,True 
Category C,858,Lorem ipsum dolor sit amet,106311,5,True 
Category C,437,Lorem ipsum dolor sit amet,79128,5,True 
Category C,941,Lorem ipsum dolor sit amet,45434,5,True 
Category B,617,Ut labore et dolore magna aliqua,32737,5,True 
Category A,696,Lorem ipsum dolor sit amet,87357,5,True 
Category C,793,Ut labore et dolore magna aliqua,56027,5,True 
Category B,330,Lorem ipsum dolor sit amet,55922,5,True 
Category B,8,Lorem ipsum dolor sit amet,65266,5,True 
Category A,28,Consectetur adipiscing elit,94266,5,True 
Category A,261,Ut labore et dolore magna aliqua,108691,5,True 
Category B,100,Lorem ipsum dolor sit amet,72006,5,True 
Category A,306,Ut labore et dolore magna aliqua,71439,5,True 
Category C,9,Ut labore et dolore magna aliqua,39156,5,True 
Category A,154,Consectetur adipiscing elit,71357,5,True 
Category C,19,Lorem ipsum dolor sit amet,86768,5,True 
Category B,268,Sed do eiusmod tempor incididunt,110160,5,True 
Category A,86,Lorem ipsum dolor sit amet,32732,5,True 
Category A,789,Ut labore et dolore magna aliqua,107102,5,True 
Category C,80,Ut labore et dolore magna aliqua,102244,5,True 
Category A,862,Consectetur adipiscing elit,78128,5,True 
Category A,994,Consectetur adipiscing elit,106729,5,True 
Category B,345,Consectetur adipiscing elit,99950,5,True 
Category A,690,Lorem ipsum dolor sit amet,90783,5,True 
Category C,532,Sed do eiusmod tempor incididunt,55577,5,True 
Category B,866,Sed do eiusmod tempor incididunt,35693,5,True 
Category B,150,Ut labore et dolore magna aliqua,90745,5,True 
Category C,750,Sed do eiusmod tempor incididunt,66303,5,True 
Category B,111,Sed do eiusmod tempor incididunt,114033,5,True 
Category C,271,Consectetur adipiscing elit,96717,5,True 
Category B,591,Lorem ipsum dolor sit amet,62644,5,True 
Category B,33,Sed do eiusmod tempor incididunt,103990,5,True 
Category B,63,Lorem ipsum dolor sit amet,92814,5,True 
Category A,307,Lorem ipsum dolor sit amet,68424,5,True 
Category B,400,Ut labore et dolore magna aliqua,59621,5,True 
Category B,384,Consectetur adipiscing elit,95980,5,True 
Category B,874,Consectetur adipiscing elit,93304,5,True 
Category A,836,Ut labore et dolore magna aliqua,47715,5,True 
Category A,688,Sed do eiusmod tempor incididunt,38268,5,True 
Category B,687,Lorem ipsum dolor sit amet,116777,5,True 
Category C,470,Sed do eiusmod tempor incididunt,59360,5,True 
Category A,530,Sed do eiusmod tempor incididunt,79262,5,True 
Category B,667,Ut labore et dolore magna aliqua,43465,5,True 
Category A,971,Lorem ipsum dolor sit amet,81983,5,True 
Category A,750,Consectetur adipiscing elit,44837,5,True 
Category A,676,Lorem ipsum dolor sit amet,42998,5,True 
Category A,350,Sed do eiusmod tempor incididunt,111059,5,True 
Category C,86,Consectetur adipiscing elit,102452,5,True 
Category C,716,Lorem ipsum dolor sit amet,81974,5,True 
Category C,561,Lorem ipsum dolor sit amet,51165,5,True 
Category C,484,Sed do eiusmod tempor incididunt,44927,5,True 
Category C,629,Lorem ipsum dolor sit amet,33503,5,True 
Category C,403,Consectetur adipiscing elit,117246,5,True 
Category C,619,Lorem ipsum dolor sit amet,35276,5,True 
Category A,919,Lorem ipsum dolor sit amet,60264,5,True 
Category B,47,Lorem ipsum dolor sit amet,61094,5,True 
Category B,155,Sed do eiusmod tempor incididunt,86817,5,True 
Category A,156,Sed do eiusmod tempor incididunt,88951,5,True 
Category C,521,Lorem ipsum dolor sit amet,95179,5,True 
Category C,499,Lorem ipsum dolor sit amet,40304,5,True 
Category C,799,Lorem ipsum dolor sit amet,37254,5,True 
Category B,904,Sed do eiusmod tempor incididunt,63689,5,True 
Category C,814,Ut labore et dolore magna aliqua,33689,5,True 
Category A,543,Sed do eiusmod tempor incididunt,48118,5,True 
Category B,915,Consectetur adipiscing elit,106164,5,True 
Category A,976,Sed do eiusmod tempor incididunt,31102,5,True 
Category C,327,Sed do eiusmod tempor incididunt,90593,5,True 
Category C,782,Lorem ipsum dolor sit amet,55034,5,True 
Category B,865,Consectetur adipiscing elit,46566,5,True 
Category A,41,Lorem ipsum dolor sit amet,107275,5,True 
Category C,861,Lorem ipsum dolor sit amet,71700,5,True 
Category A,613,Sed do eiusmod tempor incididunt,89657,5,True 
Category B,463,Ut labore et dolore magna aliqua,109938,5,True 
Category C,612,Consectetur adipiscing elit,55617,5,True 
Category B,823,Lorem ipsum dolor sit amet,65931,5,True 
Category B,714,Lorem ipsum dolor sit amet,97685,5,True 
Category A,626,Ut labore et dolore magna aliqua,80742,5,True 
Category C,676,Lorem ipsum dolor sit amet,89035,5,True 
Category C,422,Consectetur adipiscing elit,106427,5,True 
Category A,174,Sed do eiusmod tempor incididunt,34960,5,True 
Category A,167,Ut labore et dolore magna aliqua,94630,5,True 
Category A,864,Sed do eiusmod tempor incididunt,41938,5,True 
Category A,653,Lorem ipsum dolor sit amet,43487,5,True 
Category A,38,Lorem ipsum dolor sit amet,35191,5,True 
Category B,352,Consectetur adipiscing elit,59564,5,True 
Category A,751,Consectetur adipiscing elit,61419,5,True 
Category B,493,Ut labore et dolore magna aliqua,96932,5,True 
Category B,895,Ut labore et dolore magna aliqua,82510,5,True 
Category A,824,Ut labore et dolore magna aliqua,98007,5,True 
Category A,701,Ut labore et dolore magna aliqua,97007,5,True 
Category B,185,Sed do eiusmod tempor incididunt,116432,5,True 
Category C,966,Lorem ipsum dolor sit amet,83057,5,True 
Category B,123,Ut labore et dolore magna aliqua,41143,5,True 
Category B,208,Ut labore et dolore magna aliqua,67837,5,True 
Category C,144,Consectetur adipiscing elit,94970,5,True 
Category C,300,Lorem ipsum dolor sit amet,90149,5,True 
Category B,796,Consectetur adipiscing elit,114894,5,True 
Category C,658,Ut labore et dolore magna aliqua,44240,5,True 
Category C,92,Consectetur adipiscing elit,90365,5,True 
Category A,383,Sed do eiusmod tempor incididunt,70762,5,True 
Category B,853,Ut labore et dolore magna aliqua,42536,5,True 
Category B,278,Consectetur adipiscing elit,99401,5,True 
Category A,449,Sed do eiusmod tempor incididunt,36598,5,True 
Category B,344,Lorem ipsum dolor sit amet,58675,5,True 
Category C,76,Lorem ipsum dolor sit amet,97545,5,True 
Category B,281,Lorem ipsum dolor sit amet,76520,5,True 
Category A,380,Sed do eiusmod tempor incididunt,118825,5,True 
Category B,597,Consectetur adipiscing elit,71628,5,True 
Category C,81,Lorem ipsum dolor sit amet,31729,5,True 
Category A,326,Sed do eiusmod tempor incididunt,96739,5,True 
Category A,416,Sed do eiusmod tempor incididunt,85566,5,True 
Category A,268,Consectetur adipiscing elit,59332,5,True 
Category B,519,Sed do eiusmod tempor incididunt,80145,5,True 
Category B,441,Consectetur adipiscing elit,83416,5,True 
Category A,520,Ut labore et dolore magna aliqua,54509,5,True 
Category C,914,Sed do eiusmod tempor incididunt,103817,5,True 
Category A,239,Sed do eiusmod tempor incididunt,65407,5,True 
Category C,163,Sed do eiusmod tempor incididunt,90732,5,True 
Category A,108,Lorem ipsum dolor sit amet,89143,5,True 
Category A,365,Lorem ipsum dolor sit amet,114283,5,True 
Category B,92,Sed do eiusmod tempor incididunt,96541,5,True 
Category C,683,Ut labore et dolore magna aliqua,50000,5,True 
Category C,470,Lorem ipsum dolor sit amet,91124,5,True 
Category C,139,Ut labore et dolore magna aliqua,63059,5,True 
Category B,614,Ut labore et dolore magna aliqua,86592,5,True 
Category B,550,Sed do eiusmod tempor incididunt,114150,5,True 
Category B,806,Sed do eiusmod tempor incididunt,32587,5,True 
Category C,741,Consectetur adipiscing elit,44066,5,True 
Category A,927,Lorem ipsum dolor sit amet,94297,5,True 
Category A,801,Consectetur adipiscing elit,103880,5,True 
Category B,953,Consectetur adipiscing elit,61134,5,True 
Category B,873,Ut labore et dolore magna aliqua,87982,5,True 
Category A,208,Consectetur adipiscing elit,101378,5,True 
Category B,90,Sed do eiusmod tempor incididunt,78066,5,True 
Category C,62,Lorem ipsum dolor sit amet,50260,5,True 
Category B,582,Consectetur adipiscing elit,78276,5,True 
Category B,273,Sed do eiusmod tempor incididunt,85058,5,True 
Category A,269,Sed do eiusmod tempor incididunt,57911,5,True 
Category B,834,Lorem ipsum dolor sit amet,59283,5,True 
Category C,709,Sed do eiusmod tempor incididunt,57709,5,True 
Category C,561,Ut labore et dolore magna aliqua,69864,5,True 
Category B,407,Lorem ipsum dolor sit amet,88303,5,True 
Category A,285,Consectetur adipiscing elit,62615,5,True 
Category B,439,Lorem ipsum dolor sit amet,52174,5,True 
Category B,109,Sed do eiusmod tempor incididunt,115059,5,True 
Category C,972,Sed do eiusmod tempor incididunt,37986,5,True 
Category B,800,Lorem ipsum dolor sit amet,80398,5,True 
Category B,555,Lorem ipsum dolor sit amet,35323,5,True 
Category A,505,Sed do eiusmod tempor incididunt,67105,5,True 
Category B,48,Lorem ipsum dolor sit amet,40462,5,True 
Category C,720,Sed do eiusmod tempor incididunt,80925,5,True 
Category A,69,Sed do eiusmod tempor incididunt,63675,5,True 
Category A,998,Sed do eiusmod tempor incididunt,111192,5,True 
Category A,103,Sed do eiusmod tempor incididunt,53121,5,True 
Category A,771,Consectetur adipiscing elit,60499,5,True 
Category A,656,Lorem ipsum dolor sit amet,83815,5,True 
Category A,643,Ut labore et dolore magna aliqua,79238,5,True 
Category B,575,Ut labore et dolore magna aliqua,40377,5,True 
Category C,809,Lorem ipsum dolor sit amet,99902,5,True 
Category C,629,Sed do eiusmod tempor incididunt,83956,5,True 
Category B,197,Lorem ipsum dolor sit amet,111993,5,True 
Category A,599,Ut labore et dolore magna aliqua,37103,5,True 
Category C,66,Ut labore et dolore magna aliqua,101377,5,True 
Category B,157,Lorem ipsum dolor sit amet,85133,5,True 
Category C,534,Lorem ipsum dolor sit amet,62554,5,True 
Category B,408,Lorem ipsum dolor sit amet,97006,5,True 
Category A,759,Consectetur adipiscing elit,69277,5,True 
Category B,975,Ut labore et dolore magna aliqua,62936,5,True 
Category A,733,Ut labore et dolore magna aliqua,32581,5,True 
Category B,380,Sed do eiusmod tempor incididunt,70992,5,True 
Category A,518,Sed do eiusmod tempor incididunt,119753,5,True 
Category C,552,Ut labore et dolore magna aliqua,97645,5,True 
Category C,417,Consectetur adipiscing elit,64311,5,True 
Category B,575,Ut labore et dolore magna aliqua,38316,5,True 
Category C,739,Consectetur adipiscing elit,77203,5,True 
Category B,841,Consectetur adipiscing elit,71800,5,True 
Category B,546,Sed do eiusmod tempor incididunt,92073,5,True 
Category A,253,Ut labore et dolore magna aliqua,81437,5,True 
Category A,854,Consectetur adipiscing elit,58285,5,True 
Category C,755,Consectetur adipiscing elit,70573,5,True 
Category B,866,Ut labore et dolore magna aliqua,54081,5,True 
Category B,544,Sed do eiusmod tempor incididunt,32469,5,True 
Category C,632,Lorem ipsum dolor sit amet,57466,5,True 
Category C,626,Consectetur adipiscing elit,101011,5,True 
Category B,17,Sed do eiusmod tempor incididunt,36852,5,True 
Category A,692,Sed do eiusmod tempor incididunt,46858,5,True 
Category A,694,Consectetur adipiscing elit,54221,5,True 
Category A,329,Sed do eiusmod tempor incididunt,59128,5,True 
Category B,940,Ut labore et dolore magna aliqua,73912,5,True 
Category C,899,Sed do eiusmod tempor incididunt,42231,5,True 
Category A,515,Sed do eiusmod tempor incididunt,66015,5,True 
Category B,224,Sed do eiusmod tempor incididunt,48718,5,True 
Category B,201,Ut labore et dolore magna aliqua,106446,5,True 
Category A,674,Lorem ipsum dolor sit amet,47126,5,True 
Category A,323,Lorem ipsum dolor sit amet,81143,5,True 
Category B,802,Ut labore et dolore magna aliqua,44450,5,True 
Category A,437,Consectetur adipiscing elit,87550,5,True 
Category A,524,Consectetur adipiscing elit,108929,5,True 
Category A,39,Consectetur adipiscing elit,85253,5,True 
Category B,406,Ut labore et dolore magna aliqua,60036,5,True 
Category B,289,Sed do eiusmod tempor incididunt,52422,5,True 
Category C,151,Consectetur adipiscing elit,117353,5,True 
Category B,948,Ut labore et dolore magna aliqua,118796,5,True 
Category A,203,Consectetur adipiscing elit,102454,5,True 
Category A,261,Consectetur adipiscing elit,76255,5,True 
Category A,413,Consectetur adipiscing elit,109931,5,True 
Category A,123,Lorem ipsum dolor sit amet,100531,5,True 
Category C,155,Consectetur adipiscing elit,99307,5,True 
Category A,546,Lorem ipsum dolor sit amet,52587,5,True 
Category B,828,Lorem ipsum dolor sit amet,78648,5,True 
Category A,602,Lorem ipsum dolor sit amet,48908,5,True 
Category B,569,Ut labore et dolore magna aliqua,30163,5,True 
Category B,209,Sed do eiusmod tempor incididunt,61715,5,True 
Category B,829,Ut labore et dolore magna aliqua,96118,5,True 
Category B,678,Consectetur adipiscing elit,84548,5,True 
Category C,282,Ut labore et dolore magna aliqua,103662,5,True 
Category A,535,Lorem ipsum dolor sit amet,110368,5,True 
Category C,429,Consectetur adipiscing elit,57559,5,True 
Category A,269,Lorem ipsum dolor sit amet,56307,5,True 
Category B,930,Lorem ipsum dolor sit amet,35732,5,True 
Category A,183,Lorem ipsum dolor sit amet,95682,5,True 
Category B,179,Lorem ipsum dolor sit amet,100006,5,True 
Category A,452,Lorem ipsum dolor sit amet,98348,5,True 
Category A,33,Ut labore et dolore magna aliqua,73186,5,True 
Category A,648,Sed do eiusmod tempor incididunt,91437,5,True 
Category B,45,Lorem ipsum dolor sit amet,48876,5,True 
Category C,360,Consectetur adipiscing elit,74401,5,True 
Category C,148,Consectetur adipiscing elit,94576,5,True 
Category C,257,Lorem ipsum dolor sit amet,82656,5,True 
Category B,586,Sed do eiusmod tempor incididunt,68418,5,True 
Category C,17,Consectetur adipiscing elit,54930,5,True 
Category C,569,Ut labore et dolore magna aliqua,70189,5,True 
Category A,901,Ut labore et dolore magna aliqua,101945,5,True 
Category B,193,Ut labore et dolore magna aliqua,80791,5,True 
Category A,719,Consectetur adipiscing elit,36456,5,True 
Category C,495,Lorem ipsum dolor sit amet,47006,5,True 
Category A,643,Ut labore et dolore magna aliqua,50267,5,True 
Category B,390,Consectetur adipiscing elit,35001,5,True 
Category C,123,Lorem ipsum dolor sit amet,117143,5,True 
Category C,29,Lorem ipsum dolor sit amet,105190,5,True 
Category B,989,Sed do eiusmod tempor incididunt,51412,5,True 
Category B,129,Ut labore et dolore magna aliqua,105383,5,True 
Category C,523,Sed do eiusmod tempor incididunt,30130,5,True 
Category B,937,Ut labore et dolore magna aliqua,91411,5,True 
Category C,329,Sed do eiusmod tempor incididunt,114424,5,True 
Category B,795,Consectetur adipiscing elit,75244,5,True 
Category A,411,Sed do eiusmod tempor incididunt,75476,5,True 
Category B,99,Lorem ipsum dolor sit amet,88696,5,True 
Category C,820,Ut labore et dolore magna aliqua,101747,5,True 
Category C,269,Consectetur adipiscing elit,101189,5,True 
Category B,124,Lorem ipsum dolor sit amet,114423,5,True 
Category A,451,Ut labore et dolore magna aliqua,118790,5,True 
Category C,529,Lorem ipsum dolor sit amet,87985,5,True 
Category B,847,Lorem ipsum dolor sit amet,44562,5,True 
Category B,660,Ut labore et dolore magna aliqua,104285,5,True 
Category B,269,Lorem ipsum dolor sit amet,50855,5,True 
Category A,884,Consectetur adipiscing elit,100848,5,True 
Category A,29,Consectetur adipiscing elit,96171,5,True 
Category B,333,Ut labore et dolore magna aliqua,77209,5,True 
Category B,570,Lorem ipsum dolor sit amet,54820,5,True 
Category B,909,Consectetur adipiscing elit,40793,5,True 
Category A,342,Sed do eiusmod tempor incididunt,88945,5,True 
Category C,483,Consectetur adipiscing elit,60280,5,True 
Category B,983,Ut labore et dolore magna aliqua,102390,5,True 
Category A,724,Consectetur adipiscing elit,109174,5,True 
Category B,654,Ut labore et dolore magna aliqua,60220,5,True 
Category C,930,Lorem ipsum dolor sit amet,103755,5,True 
Category C,329,Sed do eiusmod tempor incididunt,103872,5,True 
Category A,347,Consectetur adipiscing elit,96401,5,True 
Category C,928,Ut labore et dolore magna aliqua,98520,5,True 
Category A,317,Lorem ipsum dolor sit amet,58882,5,True 
Category B,911,Sed do eiusmod tempor incididunt,38109,5,True 
Category A,370,Lorem ipsum dolor sit amet,69686,5,True 
Category B,359,Sed do eiusmod tempor incididunt,86627,5,True 
Category C,494,Lorem ipsum dolor sit amet,87579,5,True 
Category B,668,Sed do eiusmod tempor incididunt,36704,5,True 
Category A,989,Consectetur adipiscing elit,71785,5,True 
Category C,303,Lorem ipsum dolor sit amet,33686,5,True 
Category B,281,Lorem ipsum dolor sit amet,109844,5,True 
Category A,652,Sed do eiusmod tempor incididunt,114027,5,True 
Category A,210,Consectetur adipiscing elit,99471,5,True 
Category C,37,Ut labore et dolore magna aliqua,100270,5,True 
Category A,785,Sed do eiusmod tempor incididunt,68082,5,True 
Category C,255,Lorem ipsum dolor sit amet,79852,5,True 
Category C,542,Consectetur adipiscing elit,45420,5,True 
Category C,330,Lorem ipsum dolor sit amet,35772,5,True 
Category B,904,Consectetur adipiscing elit,66424,5,True 
Category A,782,Ut labore et dolore magna aliqua,52099,5,True 
Category A,806,Sed do eiusmod tempor incididunt,93476,5,True 
Category C,62,Sed do eiusmod tempor incididunt,57576,5,True 
Category C,595,Consectetur adipiscing elit,114947,5,True 
Category A,576,Sed do eiusmod tempor incididunt,67518,5,True 
Category C,577,Consectetur adipiscing elit,103823,5,True 
Category B,834,Consectetur adipiscing elit,54657,5,True 
Category A,318,Consectetur adipiscing elit,114314,5,True 
Category A,309,Consectetur adipiscing elit,85745,5,True 
Category C,96,Sed do eiusmod tempor incididunt,44607,5,True 
Category A,117,Consectetur adipiscing elit,94639,5,True 
Category C,47,Consectetur adipiscing elit,72418,5,True 
Category C,412,Consectetur adipiscing elit,61877,5,True 
Category B,162,Sed do eiusmod tempor incididunt,76282,5,True 
